drift_type,intensity,f1,pr_auc,recall,fpr,psi_mean,psi_max,mmd,drift_alarm
covariate,0.0,0.9735,0.9945,0.9850,0.0095,0.2103,1.4870,0.0182,False
covariate,0.25,0.9645,0.9890,0.9745,0.0218,0.3412,2.6181,0.0853,True
covariate,0.5,0.9462,0.9762,0.9580,0.0411,0.6201,5.2074,0.1483,True
covariate,0.75,0.9215,0.9554,0.9352,0.0623,0.8703,8.4126,0.1981,True
covariate,1.0,0.8918,0.9293,0.9067,0.0865,0.9521,10.7592,0.2300,True
concept,0.0,0.9735,0.9945,0.9850,0.0095,0.2103,1.4870,0.0182,False
concept,0.25,0.9678,0.9912,0.9802,0.0162,0.2705,1.9842,0.0224,True
concept,0.5,0.9523,0.9807,0.9648,0.0298,0.3154,2.4356,0.0273,True
concept,0.75,0.9315,0.9645,0.9436,0.0467,0.3984,2.9105,0.0341,True
concept,1.0,0.9072,0.9436,0.9181,0.0673,0.4517,3.5418,0.0452,True
